ana	1	Anaheim Ducks 	39	2382.6	124	94	56.9%	2160	2156	50%	1669	1568	51.6%	1231	1087	53.1%	10.1%	91.4%	101.4
bos	2	Boston Bruins 	37	2241.2	105	75	58.3%	2133	1937	52.4%	1564	1442	52%	1124	1067	51.3%	9.3%	93%	102.3
buf	3	Buffalo Sabres 	37	2251.3	62	105	37.1%	1796	2248	44.4%	1334	1732	43.5%	981	1266	43.7%	6.3%	91.7%	98
cal	4	Calgary Flames 	37	2263.4	92	116	44.2%	1866	2259	45.2%	1390	1571	46.9%	998	1106	47.4%	9.2%	89.5%	98.7
car	5	Carolina Hurricanes 	37	2256.3	85	102	45.5%	2161	2137	50.3%	1569	1634	49%	1082	1152	48.4%	7.9%	91.1%	99
chi	6	Chicago Blackhawks 	39	2382.8	141	103	57.8%	2395	1917	55.5%	1753	1426	55.1%	1294	1047	55.3%	10.9%	90.2%	101.1
col	7	Colorado Avalanche 	36	2195.4	104	85	55%	1978	2169	47.7%	1466	1615	47.6%	1080	1143	48.6%	9.6%	92.6%	102.2
cbj	8	Columbus Blue Jackets 	37	2238.5	100	105	48.8%	1889	2012	48.4%	1383	1507	47.9%	1017	1139	47.2%	9.8%	90.8%	100.6
dal	9	Dallas Stars 	36	2207.6	103	103	50%	2183	2177	50.1%	1643	1633	50.2%	1146	1175	49.4%	9%	91.2%	100.2
det	10	Detroit Red Wings 	39	2392.6	98	102	49%	2042	1983	50.7%	1596	1508	51.4%	1168	1115	51.2%	8.4%	90.9%	99.2
edm	11	Edmonton Oilers 	39	2364.1	99	134	42.5%	2034	2299	46.9%	1504	1712	46.8%	1101	1214	47.6%	9%	89%	98
fla	12	Florida Panthers 	38	2321.9	84	119	41.4%	2033	2013	50.2%	1519	1527	49.9%	1110	1119	49.8%	7.6%	89.4%	96.9
lak	13	Los Angeles Kings 	38	2328.8	100	74	57.5%	2321	1915	54.8%	1729	1482	53.8%	1185	1036	53.4%	8.4%	92.9%	101.3
min	14	Minnesota Wild 	39	2389.9	83	92	47.4%	2015	1994	50.3%	1485	1484	50%	1070	1051	50.4%	7.8%	91.2%	99
mon	15	Montréal Canadiens 	38	2307.7	93	81	53.4%	2129	2295	48.1%	1543	1571	49.6%	1095	1144	48.9%	8.5%	92.9%	101.4
nas	16	Nashville Predators 	37	2240.6	85	105	44.7%	1846	2114	46.6%	1412	1548	47.7%	1062	1108	48.9%	8%	90.5%	98.5
njd	17	New Jersey Devils 	38	2318.8	92	93	49.7%	1832	1648	52.6%	1355	1267	51.7%	968	940	50.7%	9.5%	90.1%	99.6
nyi	18	New York Islanders 	38	2325	92	126	42.2%	2126	2251	48.6%	1535	1629	48.5%	1110	1145	49.2%	8.3%	89%	97.3
nyr	19	New York Rangers 	38	2301	86	101	46%	2241	2003	52.8%	1648	1504	52.3%	1186	1084	52.2%	7.3%	90.7%	97.9
ott	20	Ottawa Senators 	39	2379.6	110	121	47.6%	2380	2274	51.1%	1798	1806	49.9%	1294	1326	49.4%	8.5%	90.9%	99.4
phi	21	Philadelphia Flyers 	37	2242.7	92	101	47.7%	2142	2016	51.5%	1565	1511	50.9%	1104	1114	49.8%	8.3%	90.9%	99.3
pho	22	Phoenix Coyotes 	36	2212.9	107	107	50%	2105	2122	49.8%	1578	1622	49.3%	1159	1195	49.2%	9.2%	91%	100.3
pit	23	Pittsburgh Penguins 	39	2359.3	118	88	57.3%	2150	2103	50.6%	1636	1495	52.3%	1201	1057	53.2%	9.8%	91.7%	101.5
sjs	24	San Jose Sharks 	37	2276.4	116	89	56.6%	2537	2073	55%	1898	1469	56.4%	1349	1042	56.4%	8.6%	91.5%	100.1
stl	25	St. Louis Blues 	36	2195	125	83	60.1%	2036	1795	53.1%	1504	1311	53.4%	1076	928	53.7%	11.6%	91.1%	102.7
tam	26	Tampa Bay Lightning 	37	2265.2	101	86	54%	1996	1974	50.3%	1529	1521	50.1%	1087	1085	50%	9.3%	92.1%	101.4
tor	27	Toronto Maple Leafs 	39	2392.1	101	109	48.1%	2001	2609	43.4%	1470	1993	42.4%	1053	1407	42.8%	9.6%	92.3%	101.8
van	28	Vancouver Canucks 	39	2389.7	104	89	53.9%	2260	2117	51.6%	1694	1526	52.6%	1243	1099	53.1%	8.4%	91.9%	100.3
was	29	Washington Capitals 	37	2279.4	109	109	50%	2054	2280	47.4%	1526	1739	46.7%	1096	1300	45.7%	9.9%	91.6%	101.6
win	30	Winnipeg Jets 	39	2390.8	98	112	46.7%	2299	2250	50.5%	1716	1658	50.9%	1218	1197	50.4%	8%	90.6%	98.7
